date,confirm,deaths,recovered
2020-01-22,2,0,0
2020-01-23,3,0,0
2020-01-24,5,0,0
2020-01-25,7,0,0
2020-01-26,8,0,2
2020-01-27,8,0,2
2020-01-28,14,0,5
2020-01-29,14,0,5
2020-01-30,14,0,5
2020-01-31,19,0,5
2020-02-01,19,0,5
2020-02-02,19,0,5
2020-02-03,19,0,5
2020-02-04,25,0,5
2020-02-05,25,0,5
2020-02-06,25,0,5
2020-02-07,25,0,5
2020-02-08,32,0,10
2020-02-09,32,0,10
2020-02-10,32,0,10
2020-02-11,33,0,10
2020-02-12,33,0,10
2020-02-13,33,0,12
2020-02-14,33,0,12
2020-02-15,33,0,12
2020-02-16,34,0,14
2020-02-17,35,0,15
2020-02-18,35,0,15
2020-02-19,35,0,15
2020-02-20,35,0,15
2020-02-21,35,0,17
2020-02-22,35,0,17
2020-02-23,35,0,21
2020-02-24,35,0,21
2020-02-25,37,0,22
2020-02-26,40,0,22
2020-02-27,40,0,22
2020-02-28,41,0,28
2020-02-29,42,0,28
2020-03-01,42,1,28
2020-03-02,43,1,31
2020-03-03,43,1,31
2020-03-04,43,1,31
2020-03-05,47,1,31
2020-03-06,48,1,31
2020-03-07,50,1,31
2020-03-08,50,1,31
2020-03-09,50,1,31
2020-03-10,53,1,33
2020-03-11,59,1,34
2020-03-12,70,1,34
2020-03-13,75,1,35
2020-03-14,82,1,35
2020-03-15,114,1,35
2020-03-16,147,1,35
2020-03-17,177,1,41
2020-03-18,212,1,42
2020-03-19,272,1,42
2020-03-20,322,1,42
2020-03-21,411,1,42
2020-03-22,599,1,44
2020-03-23,721,1,44
2020-03-24,827,4,52
2020-03-25,934,4,70
2020-03-26,1045,4,88
2020-03-27,1136,5,97
2020-03-28,1245,6,97
2020-03-29,1388,7,97
2020-03-30,1524,9,229
2020-03-31,1651,10,342
2020-04-01,1771,12,505
2020-04-02,1875,15,505
2020-04-03,1978,19,612
2020-04-04,2067,20,674
2020-04-05,2169,23,793
2020-04-06,2220,26,793
2020-04-07,2258,27,888
2020-04-08,2369,30,888
2020-04-09,2423,32,940
2020-04-10,2473,33,1013
2020-04-11,2518,35,1135
2020-04-12,2551,38,1218
2020-04-13,2579,40,1288
